"GEO_ID","NAME","K202801_001E","K202801_001M","K202801_002E","K202801_002M","K202801_003E","K202801_003M","K202801_004E","K202801_004M","K202801_005E","K202801_005M","K202801_006E","K202801_006M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Has a computer:","Margin of Error!!Total:!!Has a computer:","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription","Estimate!!Total:!!Has a computer:!!Without an Internet subscription","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription","Estimate!!Total:!!No computer","Margin of Error!!Total:!!No computer",
"0400000US06","California","13797638","19379","13463195","22425","8943","1273","13009863","24002","444389","12417","334443","11301",
"0500000US06073","San Diego County, California","1185092","6462","1162147","7612","749","484","1133004","7979","28394","3310","22945","3166",
