"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K202801_001E","Estimate!!Total:"
"K202801_001M","Margin of Error!!Total:"
"K202801_002E","Estimate!!Total:!!Has a computer:"
"K202801_002M","Margin of Error!!Total:!!Has a computer:"
"K202801_003E","Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone"
"K202801_003M","Margin of Error!!Total:!!Has a computer:!!With dial-up Internet subscription alone"
"K202801_004E","Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription"
"K202801_004M","Margin of Error!!Total:!!Has a computer:!!With a broadband Internet subscription"
"K202801_005E","Estimate!!Total:!!Has a computer:!!Without an Internet subscription"
"K202801_005M","Margin of Error!!Total:!!Has a computer:!!Without an Internet subscription"
"K202801_006E","Estimate!!Total:!!No computer"
"K202801_006M","Margin of Error!!Total:!!No computer"
