"GEO_ID","NAME","K200101_001E","K200101_001M","K200101_002E","K200101_002M","K200101_003E","K200101_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male","Margin of Error!!Total:!!Male","Estimate!!Total:!!Female","Margin of Error!!Total:!!Female",
"0400000US06","California","39431263","*****","19675103","6629","19756160","6629",
"0500000US06073","San Diego County, California","3298799","*****","1664886","522","1633913","522",
