"GEO_ID","NAME","K202201_001E","K202201_001M","K202201_002E","K202201_002M","K202201_003E","K202201_003M","K202201_004E","K202201_004M","K202201_005E","K202201_005M","K202201_006E","K202201_006M","K202201_007E","K202201_007M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Household received Food Stamps/SNAP in the past 12 months:","Margin of Error!!Total:!!Household received Food Stamps/SNAP in the past 12 months:","Estimate!!Total:!!Household received Food Stamps/SNAP in the past 12 months:!!With children under 18 years","Margin of Error!!Total:!!Household received Food Stamps/SNAP in the past 12 months:!!With children under 18 years","Estimate!!Total:!!Household received Food Stamps/SNAP in the past 12 months:!!No children under 18 years","Margin of Error!!Total:!!Household received Food Stamps/SNAP in the past 12 months:!!No children under 18 years","Estimate!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:","Margin of Error!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:","Estimate!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:!!With children under 18 years","Margin of Error!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:!!With children under 18 years","Estimate!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:!!No children under 18 years","Margin of Error!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:!!No children under 18 years",
"0400000US06","California","13797638","19379","1860876","21622","804224","15850","1056652","16232","11936762","26272","3471061","30394","8465701","34383",
"0500000US06073","San Diego County, California","1185092","6462","130785","6258","56033","4274","74752","5055","1054307","8231","296262","9246","758045","9906",
