"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201703_001E","Estimate!!Total:"
"K201703_001M","Margin of Error!!Total:"
"K201703_002E","Estimate!!Total:!!Income in the past 12 months below poverty level:"
"K201703_002M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:"
"K201703_003E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family"
"K201703_003M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family"
"K201703_004E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:"
"K201703_004M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:"
"K201703_005E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present"
"K201703_005M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present"
"K201703_006E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present"
"K201703_006M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present"
"K201703_007E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:"
"K201703_007M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:"
"K201703_008E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family"
"K201703_008M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family"
"K201703_009E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:"
"K201703_009M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:"
"K201703_010E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present"
"K201703_010M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present"
"K201703_011E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present"
"K201703_011M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present"
