"GEO_ID","NAME","K202503_001E","K202503_001M","K202503_002E","K202503_002M","K202503_003E","K202503_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0400000US06","California","38537958","*****","22484737","108523","16053221","108523",
"0500000US06073","San Diego County, California","3184677","1788","1807174","32440","1377503","31761",
