"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201101_001E","Estimate!!Total:"
"K201101_001M","Margin of Error!!Total:"
"K201101_002E","Estimate!!Total:!!In married-couple families"
"K201101_002M","Margin of Error!!Total:!!In married-couple families"
"K201101_003E","Estimate!!Total:!!In other families:"
"K201101_003M","Margin of Error!!Total:!!In other families:"
"K201101_004E","Estimate!!Total:!!In other families:!!Male householder, no spouse present"
"K201101_004M","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present"
"K201101_005E","Estimate!!Total:!!In other families:!!Female householder, no spouse present"
"K201101_005M","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present"
