"GEO_ID","NAME","K202703_001E","K202703_001M","K202703_002E","K202703_002M","K202703_003E","K202703_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With public coverage","Margin of Error!!Total:!!With public coverage","Estimate!!Total:!!No public coverage","Margin of Error!!Total:!!No public coverage",
"0400000US06","California","38978900","6126","15996023","78951","22982877","79431",
"0500000US06073","San Diego County, California","3198918","4327","1186083","18158","2012835","19477",
