"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201702_001E","Estimate!!Total:"
"K201702_001M","Margin of Error!!Total:"
"K201702_002E","Estimate!!Total:!!Under .50"
"K201702_002M","Margin of Error!!Total:!!Under .50"
"K201702_003E","Estimate!!Total:!!.50 to .99"
"K201702_003M","Margin of Error!!Total:!!.50 to .99"
"K201702_004E","Estimate!!Total:!!1.00 to 1.49"
"K201702_004M","Margin of Error!!Total:!!1.00 to 1.49"
"K201702_005E","Estimate!!Total:!!1.50 to 1.99"
"K201702_005M","Margin of Error!!Total:!!1.50 to 1.99"
"K201702_006E","Estimate!!Total:!!2.00 and over"
"K201702_006M","Margin of Error!!Total:!!2.00 and over"
