"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K200802_001E","Estimate!!Total:"
"K200802_001M","Margin of Error!!Total:"
"K200802_002E","Estimate!!Total:!!Less than 10 minutes"
"K200802_002M","Margin of Error!!Total:!!Less than 10 minutes"
"K200802_003E","Estimate!!Total:!!10 to 29 minutes"
"K200802_003M","Margin of Error!!Total:!!10 to 29 minutes"
"K200802_004E","Estimate!!Total:!!30 to 59 minutes"
"K200802_004M","Margin of Error!!Total:!!30 to 59 minutes"
"K200802_005E","Estimate!!Total:!!60 minutes or more"
"K200802_005M","Margin of Error!!Total:!!60 minutes or more"
