"GEO_ID","NAME","K201801_001E","K201801_001M","K201801_002E","K201801_002M","K201801_003E","K201801_003M","K201801_004E","K201801_004M","K201801_005E","K201801_005M","K201801_006E","K201801_006M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With a disability:","Margin of Error!!Total:!!With a disability:","Estimate!!Total:!!With a disability:!!Under 18 years","Margin of Error!!Total:!!With a disability:!!Under 18 years","Estimate!!Total:!!With a disability:!!18 to 64 years","Margin of Error!!Total:!!With a disability:!!18 to 64 years","Estimate!!Total:!!With a disability:!!65 years and over","Margin of Error!!Total:!!With a disability:!!65 years and over","Estimate!!Total:!!No disability","Margin of Error!!Total:!!No disability",
"0400000US06","California","38978900","6126","4719489","34828","381047","13090","2222734","28802","2115708","19559","34259411","35184",
"0500000US06073","San Diego County, California","3198918","4327","378636","12198","29642","3957","182351","7911","166643","6328","2820282","13589",
