"GEO_ID","NAME","K201702_001E","K201702_001M","K201702_002E","K201702_002M","K201702_003E","K201702_003M","K201702_004E","K201702_004M","K201702_005E","K201702_005M","K201702_006E","K201702_006M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under .50","Margin of Error!!Total:!!Under .50","Estimate!!Total:!!.50 to .99","Margin of Error!!Total:!!.50 to .99","Estimate!!Total:!!1.00 to 1.49","Margin of Error!!Total:!!1.00 to 1.49","Estimate!!Total:!!1.50 to 1.99","Margin of Error!!Total:!!1.50 to 1.99","Estimate!!Total:!!2.00 and over","Margin of Error!!Total:!!2.00 and over",
"0400000US06","California","38703144","8951","2272893","45206","2295074","54527","2769753","50958","3027561","63628","28337863","109296",
"0500000US06073","San Diego County, California","3203045","2555","170744","13030","149393","11709","190639","14496","201039","17262","2491230","25146",
