"GEO_ID","NAME","K201903_001E","K201903_001M","K201903_002E","K201903_002M","K201903_003E","K201903_003M","K201903_004E","K201903_004M","K201903_005E","K201903_005M","K201903_006E","K201903_006M","K201903_007E","K201903_007M","K201903_008E","K201903_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $20,000","Margin of Error!!Total:!!Less than $20,000","Estimate!!Total:!!$20,000 to $39,999","Margin of Error!!Total:!!$20,000 to $39,999","Estimate!!Total:!!$40,000 to $59,999","Margin of Error!!Total:!!$40,000 to $59,999","Estimate!!Total:!!$60,000 to $99,999","Margin of Error!!Total:!!$60,000 to $99,999","Estimate!!Total:!!$100,000 to $149,999","Margin of Error!!Total:!!$100,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"0400000US06","California","9297773","37513","558771","14712","797594","16627","902845","19619","1788197","24624","1781782","21214","1163173","18770","2305411","21909",
"0500000US06073","San Diego County, California","781679","9221","39372","3943","55695","4235","65391","4860","144569","7276","152546","6417","109193","5795","214913","6618",
