"GEO_ID","NAME","K202501_001E","K202501_001M","K202501_002E","K202501_002M","K202501_003E","K202501_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Occupied","Margin of Error!!Total:!!Occupied","Estimate!!Total:!!Vacant","Margin of Error!!Total:!!Vacant",
"0400000US06","California","14877017","1124","13797638","19379","1079379","19306",
"0500000US06073","San Diego County, California","1271828","662","1185092","6462","86736","6378",
