"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K200901_001E","Estimate!!Total:"
"K200901_001M","Margin of Error!!Total:"
"K200901_002E","Estimate!!Total:!!Family households:"
"K200901_002M","Margin of Error!!Total:!!Family households:"
"K200901_003E","Estimate!!Total:!!Family households:!!Married-couple family"
"K200901_003M","Margin of Error!!Total:!!Family households:!!Married-couple family"
"K200901_004E","Estimate!!Total:!!Family households:!!Other family:"
"K200901_004M","Margin of Error!!Total:!!Family households:!!Other family:"
"K200901_005E","Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present"
"K200901_005M","Margin of Error!!Total:!!Family households:!!Other family:!!Male householder, no spouse present"
"K200901_006E","Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present"
"K200901_006M","Margin of Error!!Total:!!Family households:!!Other family:!!Female householder, no spouse present"
"K200901_007E","Estimate!!Total:!!Nonfamily households:"
"K200901_007M","Margin of Error!!Total:!!Nonfamily households:"
"K200901_008E","Estimate!!Total:!!Nonfamily households:!!Householder living alone"
"K200901_008M","Margin of Error!!Total:!!Nonfamily households:!!Householder living alone"
"K200901_009E","Estimate!!Total:!!Nonfamily households:!!Householder not living alone"
"K200901_009M","Margin of Error!!Total:!!Nonfamily households:!!Householder not living alone"
