"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201501_001E","Estimate!!Total:"
"K201501_001M","Margin of Error!!Total:"
"K201501_002E","Estimate!!Total:!!Less than 9th grade"
"K201501_002M","Margin of Error!!Total:!!Less than 9th grade"
"K201501_003E","Estimate!!Total:!!9th to 12th grade, no diploma"
"K201501_003M","Margin of Error!!Total:!!9th to 12th grade, no diploma"
"K201501_004E","Estimate!!Total:!!High school graduate (includes equivalency)"
"K201501_004M","Margin of Error!!Total:!!High school graduate (includes equivalency)"
"K201501_005E","Estimate!!Total:!!Some college, no degree"
"K201501_005M","Margin of Error!!Total:!!Some college, no degree"
"K201501_006E","Estimate!!Total:!!Associate's degree"
"K201501_006M","Margin of Error!!Total:!!Associate's degree"
"K201501_007E","Estimate!!Total:!!Bachelor's degree"
"K201501_007M","Margin of Error!!Total:!!Bachelor's degree"
"K201501_008E","Estimate!!Total:!!Graduate or professional degree"
"K201501_008M","Margin of Error!!Total:!!Graduate or professional degree"
