"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K202201_001E","Estimate!!Total:"
"K202201_001M","Margin of Error!!Total:"
"K202201_002E","Estimate!!Total:!!Household received Food Stamps/SNAP in the past 12 months:"
"K202201_002M","Margin of Error!!Total:!!Household received Food Stamps/SNAP in the past 12 months:"
"K202201_003E","Estimate!!Total:!!Household received Food Stamps/SNAP in the past 12 months:!!With children under 18 years"
"K202201_003M","Margin of Error!!Total:!!Household received Food Stamps/SNAP in the past 12 months:!!With children under 18 years"
"K202201_004E","Estimate!!Total:!!Household received Food Stamps/SNAP in the past 12 months:!!No children under 18 years"
"K202201_004M","Margin of Error!!Total:!!Household received Food Stamps/SNAP in the past 12 months:!!No children under 18 years"
"K202201_005E","Estimate!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:"
"K202201_005M","Margin of Error!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:"
"K202201_006E","Estimate!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:!!With children under 18 years"
"K202201_006M","Margin of Error!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:!!With children under 18 years"
"K202201_007E","Estimate!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:!!No children under 18 years"
"K202201_007M","Margin of Error!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:!!No children under 18 years"
