"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201001_001E","Estimate!!Total:"
"K201001_001M","Margin of Error!!Total:"
"K201001_002E","Estimate!!Total:!!Never married"
"K201001_002M","Margin of Error!!Total:!!Never married"
"K201001_003E","Estimate!!Total:!!Now married (except separated)"
"K201001_003M","Margin of Error!!Total:!!Now married (except separated)"
"K201001_004E","Estimate!!Total:!!Separated"
"K201001_004M","Margin of Error!!Total:!!Separated"
"K201001_005E","Estimate!!Total:!!Widowed"
"K201001_005M","Margin of Error!!Total:!!Widowed"
"K201001_006E","Estimate!!Total:!!Divorced"
"K201001_006M","Margin of Error!!Total:!!Divorced"
