"GEO_ID","NAME","K201501_001E","K201501_001M","K201501_002E","K201501_002M","K201501_003E","K201501_003M","K201501_004E","K201501_004M","K201501_005E","K201501_005M","K201501_006E","K201501_006M","K201501_007E","K201501_007M","K201501_008E","K201501_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 9th grade","Margin of Error!!Total:!!Less than 9th grade","Estimate!!Total:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!9th to 12th grade, no diploma","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college, no degree","Margin of Error!!Total:!!Some college, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree",
"0400000US06","California","27375795","5474","2390755","29157","1757199","29226","5602709","46509","5065962","45749","2122518","25583","6355683","45943","4080969","36063",
"0500000US06073","San Diego County, California","2304860","504","131364","7456","120346","7708","403106","11114","434401","13509","172773","7405","615942","12965","426928","11164",
