"GEO_ID","NAME","K200103_001E","K200103_001M","K200103_002E","K200103_002M","K200103_003E","K200103_003M",
"Geography","Geographic Area Name","Estimate!!Median age --!!Total:","Margin of Error!!Median age --!!Total:","Estimate!!Median age --!!Male","Margin of Error!!Median age --!!Male","Estimate!!Median age --!!Female","Margin of Error!!Median age --!!Female",
"0400000US06","California","38.4","0.1","37.5","0.1","39.3","0.1",
"0500000US06073","San Diego County, California","37.8","0.2","36.8","0.2","38.9","0.3",
