"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201102_001E","Estimate!!Total:"
"K201102_001M","Margin of Error!!Total:"
"K201102_002E","Estimate!!Total:!!Households with one or more people 60 years and over:"
"K201102_002M","Margin of Error!!Total:!!Households with one or more people 60 years and over:"
"K201102_003E","Estimate!!Total:!!Households with one or more people 60 years and over:!!Family households"
"K201102_003M","Margin of Error!!Total:!!Households with one or more people 60 years and over:!!Family households"
"K201102_004E","Estimate!!Total:!!Households with one or more people 60 years and over:!!Nonfamily households"
"K201102_004M","Margin of Error!!Total:!!Households with one or more people 60 years and over:!!Nonfamily households"
"K201102_005E","Estimate!!Total:!!Households with no people 60 years and over:"
"K201102_005M","Margin of Error!!Total:!!Households with no people 60 years and over:"
"K201102_006E","Estimate!!Total:!!Households with no people 60 years and over:!!Family households"
"K201102_006M","Margin of Error!!Total:!!Households with no people 60 years and over:!!Family households"
"K201102_007E","Estimate!!Total:!!Households with no people 60 years and over:!!Nonfamily households"
"K201102_007M","Margin of Error!!Total:!!Households with no people 60 years and over:!!Nonfamily households"
