"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K200104_001E","Estimate!!Total:"
"K200104_001M","Margin of Error!!Total:"
"K200104_002E","Estimate!!Total:!!Under 18 years"
"K200104_002M","Margin of Error!!Total:!!Under 18 years"
"K200104_003E","Estimate!!Total:!!18 to 24 years"
"K200104_003M","Margin of Error!!Total:!!18 to 24 years"
"K200104_004E","Estimate!!Total:!!25 to 34 years"
"K200104_004M","Margin of Error!!Total:!!25 to 34 years"
"K200104_005E","Estimate!!Total:!!35 to 44 years"
"K200104_005M","Margin of Error!!Total:!!35 to 44 years"
"K200104_006E","Estimate!!Total:!!45 to 54 years"
"K200104_006M","Margin of Error!!Total:!!45 to 54 years"
"K200104_007E","Estimate!!Total:!!55 to 64 years"
"K200104_007M","Margin of Error!!Total:!!55 to 64 years"
"K200104_008E","Estimate!!Total:!!65 years and over"
"K200104_008M","Margin of Error!!Total:!!65 years and over"
