"GEO_ID","NAME","K200301_001E","K200301_001M","K200301_002E","K200301_002M","K200301_003E","K200301_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino","Margin of Error!!Total:!!Not Hispanic or Latino","Estimate!!Total:!!Hispanic or Latino","Margin of Error!!Total:!!Hispanic or Latino",
"0400000US06","California","39431263","*****","23362049","*****","16069214","*****",
"0500000US06073","San Diego County, California","3298799","*****","2136074","*****","1162725","*****",
