"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K200801_001E","Estimate!!Total:"
"K200801_001M","Margin of Error!!Total:"
"K200801_002E","Estimate!!Total:!!Car, truck, or van - drove alone"
"K200801_002M","Margin of Error!!Total:!!Car, truck, or van - drove alone"
"K200801_003E","Estimate!!Total:!!Car, truck, or van - carpooled"
"K200801_003M","Margin of Error!!Total:!!Car, truck, or van - carpooled"
"K200801_004E","Estimate!!Total:!!Public transportation"
"K200801_004M","Margin of Error!!Total:!!Public transportation"
"K200801_005E","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, walked, or other means"
"K200801_005M","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, walked, or other means"
"K200801_006E","Estimate!!Total:!!Worked from home"
"K200801_006M","Margin of Error!!Total:!!Worked from home"
