"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201903_001E","Estimate!!Total:"
"K201903_001M","Margin of Error!!Total:"
"K201903_002E","Estimate!!Total:!!Less than $20,000"
"K201903_002M","Margin of Error!!Total:!!Less than $20,000"
"K201903_003E","Estimate!!Total:!!$20,000 to $39,999"
"K201903_003M","Margin of Error!!Total:!!$20,000 to $39,999"
"K201903_004E","Estimate!!Total:!!$40,000 to $59,999"
"K201903_004M","Margin of Error!!Total:!!$40,000 to $59,999"
"K201903_005E","Estimate!!Total:!!$60,000 to $99,999"
"K201903_005M","Margin of Error!!Total:!!$60,000 to $99,999"
"K201903_006E","Estimate!!Total:!!$100,000 to $149,999"
"K201903_006M","Margin of Error!!Total:!!$100,000 to $149,999"
"K201903_007E","Estimate!!Total:!!$150,000 to $199,999"
"K201903_007M","Margin of Error!!Total:!!$150,000 to $199,999"
"K201903_008E","Estimate!!Total:!!$200,000 or more"
"K201903_008M","Margin of Error!!Total:!!$200,000 or more"
