"GEO_ID","NAME","K201905_001E","K201905_001M",
"Geography","Geographic Area Name","Estimate!!Median nonfamily household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median nonfamily household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"0400000US06","California","63280","844",
"0500000US06073","San Diego County, California","76022","2264",
