"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201701_001E","Estimate!!Total:"
"K201701_001M","Margin of Error!!Total:"
"K201701_002E","Estimate!!Total:!!Income in the past 12 months below poverty level:"
"K201701_002M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:"
"K201701_003E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Under 18 years"
"K201701_003M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Under 18 years"
"K201701_004E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 to 64 years"
"K201701_004M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 to 64 years"
"K201701_005E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!65 years and over"
"K201701_005M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!65 years and over"
"K201701_006E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:"
"K201701_006M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:"
"K201701_007E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Under 18 years"
"K201701_007M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Under 18 years"
"K201701_008E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 to 64 years"
"K201701_008M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 to 64 years"
"K201701_009E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!65 years and over"
"K201701_009M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!65 years and over"
