"GEO_ID","NAME","K201101_001E","K201101_001M","K201101_002E","K201101_002M","K201101_003E","K201101_003M","K201101_004E","K201101_004M","K201101_005E","K201101_005M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In married-couple families","Margin of Error!!Total:!!In married-couple families","Estimate!!Total:!!In other families:","Margin of Error!!Total:!!In other families:","Estimate!!Total:!!In other families:!!Male householder, no spouse present","Margin of Error!!Total:!!In other families:!!Male householder, no spouse present","Estimate!!Total:!!In other families:!!Female householder, no spouse present","Margin of Error!!Total:!!In other families:!!Female householder, no spouse present",
"0400000US06","California","7165707","31290","5068824","36371","2096883","35260","597193","22530","1499690","31991",
"0500000US06073","San Diego County, California","583025","8393","433562","12474","149463","11805","40953","7510","108510","9849",
