"GEO_ID","NAME","K202508_001E","K202508_001M","K202508_002E","K202508_002M","K202508_003E","K202508_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With a mortgage","Margin of Error!!Total:!!With a mortgage","Estimate!!Total:!!Not mortgaged","Margin of Error!!Total:!!Not mortgaged",
"0400000US06","California","7701876","35244","5093384","31940","2608492","27097",
"0500000US06073","San Diego County, California","645184","10248","451322","8922","193862","7233",
