"GEO_ID","NAME","K202601_001E","K202601_001M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:",
"0400000US06","California","893305","*****",
"0500000US06073","San Diego County, California","114122","1788",
