"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201401_001E","Estimate!!Total:"
"K201401_001M","Margin of Error!!Total:"
"K201401_002E","Estimate!!Total:!!Enrolled in school:"
"K201401_002M","Margin of Error!!Total:!!Enrolled in school:"
"K201401_003E","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool"
"K201401_003M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool"
"K201401_004E","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten"
"K201401_004M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten"
"K201401_005E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4"
"K201401_005M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4"
"K201401_006E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8"
"K201401_006M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8"
"K201401_007E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12"
"K201401_007M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12"
"K201401_008E","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years"
"K201401_008M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years"
"K201401_009E","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school"
"K201401_009M","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school"
"K201401_010E","Estimate!!Total:!!Not enrolled in school"
"K201401_010M","Margin of Error!!Total:!!Not enrolled in school"
