"GEO_ID","NAME","K202502_001E","K202502_001M","K202502_002E","K202502_002M","K202502_003E","K202502_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0400000US06","California","13797638","19379","7701876","35244","6095762","32082",
"0500000US06073","San Diego County, California","1185092","6462","645184","10248","539908","10301",
