"GEO_ID","NAME","K202701_001E","K202701_001M","K202701_002E","K202701_002M","K202701_003E","K202701_003M","K202701_004E","K202701_004M","K202701_005E","K202701_005M","K202701_006E","K202701_006M","K202701_007E","K202701_007M","K202701_008E","K202701_008M","K202701_009E","K202701_009M","K202701_010E","K202701_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under 19 years:","Margin of Error!!Total:!!Under 19 years:","Estimate!!Total:!!Under 19 years:!!With health insurance coverage","Margin of Error!!Total:!!Under 19 years:!!With health insurance coverage","Estimate!!Total:!!Under 19 years:!!No health insurance coverage","Margin of Error!!Total:!!Under 19 years:!!No health insurance coverage","Estimate!!Total:!!19 to 64 years:","Margin of Error!!Total:!!19 to 64 years:","Estimate!!Total:!!19 to 64 years:!!With health insurance coverage","Margin of Error!!Total:!!19 to 64 years:!!With health insurance coverage","Estimate!!Total:!!19 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!19 to 64 years:!!No health insurance coverage","Estimate!!Total:!!65 years and over:","Margin of Error!!Total:!!65 years and over:","Estimate!!Total:!!65 years and over:!!With health insurance coverage","Margin of Error!!Total:!!65 years and over:!!With health insurance coverage","Estimate!!Total:!!65 years and over:!!No health insurance coverage","Margin of Error!!Total:!!65 years and over:!!No health insurance coverage",
"0400000US06","California","38978900","6126","8946328","10807","8666630","15895","279698","12841","23612624","13166","21639900","32233","1972724","32561","6419948","4044","6357906","5773","62042","4590",
"0500000US06073","San Diego County, California","3198918","4327","714377","3205","687716","4829","26661","3579","1957182","5884","1803290","10027","153892","8505","527359","719","525154","987","2205","733",
