"GEO_ID","NAME","K200901_001E","K200901_001M","K200901_002E","K200901_002M","K200901_003E","K200901_003M","K200901_004E","K200901_004M","K200901_005E","K200901_005M","K200901_006E","K200901_006M","K200901_007E","K200901_007M","K200901_008E","K200901_008M","K200901_009E","K200901_009M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!Married-couple family","Margin of Error!!Total:!!Family households:!!Married-couple family","Estimate!!Total:!!Family households:!!Other family:","Margin of Error!!Total:!!Family households:!!Other family:","Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!Householder living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder living alone","Estimate!!Total:!!Nonfamily households:!!Householder not living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder not living alone",
"0400000US06","California","13797638","19379","9297773","37513","6599228","37735","2698545","28127","892619","16864","1805926","23602","4499865","32035","3398602","30402","1101263","18566",
"0500000US06073","San Diego County, California","1185092","6462","781679","9221","579899","9898","201780","6327","65290","5270","136490","5947","403413","9102","290032","9115","113381","5596",
