"GEO_ID","NAME","K201803_001E","K201803_001M","K201803_002E","K201803_002M","K201803_003E","K201803_003M","K201803_004E","K201803_004M","K201803_005E","K201803_005M","K201803_006E","K201803_006M","K201803_007E","K201803_007M","K201803_008E","K201803_008M","K201803_009E","K201803_009M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With a disability:","Margin of Error!!Total:!!With a disability:","Estimate!!Total:!!With a disability:!!With a hearing difficulty","Margin of Error!!Total:!!With a disability:!!With a hearing difficulty","Estimate!!Total:!!With a disability:!!With a vision difficulty","Margin of Error!!Total:!!With a disability:!!With a vision difficulty","Estimate!!Total:!!With a disability:!!With a cognitive difficulty","Margin of Error!!Total:!!With a disability:!!With a cognitive difficulty","Estimate!!Total:!!With a disability:!!With an ambulatory difficulty","Margin of Error!!Total:!!With a disability:!!With an ambulatory difficulty","Estimate!!Total:!!With a disability:!!With a self-care difficulty","Margin of Error!!Total:!!With a disability:!!With a self-care difficulty","Estimate!!Total:!!With a disability:!!With an independent living difficulty","Margin of Error!!Total:!!With a disability:!!With an independent living difficulty","Estimate!!Total:!!No disability","Margin of Error!!Total:!!No disability",
"0400000US06","California","38978900","6126","4719489","34828","1227200","18081","893402","16538","1932528","29733","2217841","23597","1075813","18941","1898945","24269","34259411","35184",
"0500000US06073","San Diego County, California","3198918","4327","378636","12198","95891","5772","66937","5930","162499","8901","169847","6881","82965","6005","145322","6893","2820282","13589",
