"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201801_001E","Estimate!!Total:"
"K201801_001M","Margin of Error!!Total:"
"K201801_002E","Estimate!!Total:!!With a disability:"
"K201801_002M","Margin of Error!!Total:!!With a disability:"
"K201801_003E","Estimate!!Total:!!With a disability:!!Under 18 years"
"K201801_003M","Margin of Error!!Total:!!With a disability:!!Under 18 years"
"K201801_004E","Estimate!!Total:!!With a disability:!!18 to 64 years"
"K201801_004M","Margin of Error!!Total:!!With a disability:!!18 to 64 years"
"K201801_005E","Estimate!!Total:!!With a disability:!!65 years and over"
"K201801_005M","Margin of Error!!Total:!!With a disability:!!65 years and over"
"K201801_006E","Estimate!!Total:!!No disability"
"K201801_006M","Margin of Error!!Total:!!No disability"
