"GEO_ID","NAME","K200501_001E","K200501_001M","K200501_002E","K200501_002M","K200501_003E","K200501_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!U.S. citizen","Margin of Error!!Total:!!U.S. citizen","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen",
"0400000US06","California","39431263","*****","34427769","55239","5003494","55239",
"0500000US06073","San Diego County, California","3298799","*****","2970831","15639","327968","15639",
