"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K202002_001E","Estimate!!Median earnings in the past 12 months (in 2024 inflation-adjusted dollars) --!!Total (dollars):"
"K202002_001M","Margin of Error!!Median earnings in the past 12 months (in 2024 inflation-adjusted dollars) --!!Total (dollars):"
"K202002_002E","Estimate!!Median earnings in the past 12 months (in 2024 inflation-adjusted dollars) --!!Male --!!Total (dollars)"
"K202002_002M","Margin of Error!!Median earnings in the past 12 months (in 2024 inflation-adjusted dollars) --!!Male --!!Total (dollars)"
"K202002_003E","Estimate!!Median earnings in the past 12 months (in 2024 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)"
"K202002_003M","Margin of Error!!Median earnings in the past 12 months (in 2024 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)"
"K202002_004E","Estimate!!Median earnings in the past 12 months (in 2024 inflation-adjusted dollars) --!!Total (dollars)"
"K202002_004M","Margin of Error!!Median earnings in the past 12 months (in 2024 inflation-adjusted dollars) --!!Total (dollars)"
"K202002_005E","Estimate!!Median earnings in the past 12 months (in 2024 inflation-adjusted dollars) --!!Worked full-time, year-round in the past 12 months (dollars)"
"K202002_005M","Margin of Error!!Median earnings in the past 12 months (in 2024 inflation-adjusted dollars) --!!Worked full-time, year-round in the past 12 months (dollars)"
