"GEO_ID","NAME","K200104_001E","K200104_001M","K200104_002E","K200104_002M","K200104_003E","K200104_003M","K200104_004E","K200104_004M","K200104_005E","K200104_005M","K200104_006E","K200104_006M","K200104_007E","K200104_007M","K200104_008E","K200104_008M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under 18 years","Margin of Error!!Total:!!Under 18 years","Estimate!!Total:!!18 to 24 years","Margin of Error!!Total:!!18 to 24 years","Estimate!!Total:!!25 to 34 years","Margin of Error!!Total:!!25 to 34 years","Estimate!!Total:!!35 to 44 years","Margin of Error!!Total:!!35 to 44 years","Estimate!!Total:!!45 to 54 years","Margin of Error!!Total:!!45 to 54 years","Estimate!!Total:!!55 to 64 years","Margin of Error!!Total:!!55 to 64 years","Estimate!!Total:!!65 years and over","Margin of Error!!Total:!!65 years and over",
"0400000US06","California","39431263","*****","8411338","2847","3644130","5026","5708737","7469","5601979","6522","4861460","6297","4678758","3708","6524861","3900",
"0500000US06073","San Diego County, California","3298799","*****","671592","*****","322347","504","512439","701","486203","884","393887","897","374783","504","537548","504",
