"GEO_ID","NAME","K200801_001E","K200801_001M","K200801_002E","K200801_002M","K200801_003E","K200801_003M","K200801_004E","K200801_004M","K200801_005E","K200801_005M","K200801_006E","K200801_006M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van - drove alone","Margin of Error!!Total:!!Car, truck, or van - drove alone","Estimate!!Total:!!Car, truck, or van - carpooled","Margin of Error!!Total:!!Car, truck, or van - carpooled","Estimate!!Total:!!Public transportation","Margin of Error!!Total:!!Public transportation","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, walked, or other means","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, walked, or other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"0400000US06","California","18893770","51342","12708552","50384","1919788","32257","623078","17173","970246","20451","2672106","31094",
"0500000US06073","San Diego County, California","1674562","12717","1131794","14365","139207","8474","31789","3820","101977","6207","269795","8695",
