"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K201803_001E","Estimate!!Total:"
"K201803_001M","Margin of Error!!Total:"
"K201803_002E","Estimate!!Total:!!With a disability:"
"K201803_002M","Margin of Error!!Total:!!With a disability:"
"K201803_003E","Estimate!!Total:!!With a disability:!!With a hearing difficulty"
"K201803_003M","Margin of Error!!Total:!!With a disability:!!With a hearing difficulty"
"K201803_004E","Estimate!!Total:!!With a disability:!!With a vision difficulty"
"K201803_004M","Margin of Error!!Total:!!With a disability:!!With a vision difficulty"
"K201803_005E","Estimate!!Total:!!With a disability:!!With a cognitive difficulty"
"K201803_005M","Margin of Error!!Total:!!With a disability:!!With a cognitive difficulty"
"K201803_006E","Estimate!!Total:!!With a disability:!!With an ambulatory difficulty"
"K201803_006M","Margin of Error!!Total:!!With a disability:!!With an ambulatory difficulty"
"K201803_007E","Estimate!!Total:!!With a disability:!!With a self-care difficulty"
"K201803_007M","Margin of Error!!Total:!!With a disability:!!With a self-care difficulty"
"K201803_008E","Estimate!!Total:!!With a disability:!!With an independent living difficulty"
"K201803_008M","Margin of Error!!Total:!!With a disability:!!With an independent living difficulty"
"K201803_009E","Estimate!!Total:!!No disability"
"K201803_009M","Margin of Error!!Total:!!No disability"
