"GEO_ID","NAME","K201102_001E","K201102_001M","K201102_002E","K201102_002M","K201102_003E","K201102_003M","K201102_004E","K201102_004M","K201102_005E","K201102_005M","K201102_006E","K201102_006M","K201102_007E","K201102_007M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Households with one or more people 60 years and over:","Margin of Error!!Total:!!Households with one or more people 60 years and over:","Estimate!!Total:!!Households with one or more people 60 years and over:!!Family households","Margin of Error!!Total:!!Households with one or more people 60 years and over:!!Family households","Estimate!!Total:!!Households with one or more people 60 years and over:!!Nonfamily households","Margin of Error!!Total:!!Households with one or more people 60 years and over:!!Nonfamily households","Estimate!!Total:!!Households with no people 60 years and over:","Margin of Error!!Total:!!Households with no people 60 years and over:","Estimate!!Total:!!Households with no people 60 years and over:!!Family households","Margin of Error!!Total:!!Households with no people 60 years and over:!!Family households","Estimate!!Total:!!Households with no people 60 years and over:!!Nonfamily households","Margin of Error!!Total:!!Households with no people 60 years and over:!!Nonfamily households",
"0400000US06","California","13797638","19379","5910992","19756","3923390","22332","1987602","20834","7886646","23018","5374383","31078","2512263","26864",
"0500000US06073","San Diego County, California","1185092","6462","478609","5613","318431","6739","160178","5880","706483","7374","463248","8094","243235","6887",
