"GEO_ID","NAME","K201701_001E","K201701_001M","K201701_002E","K201701_002M","K201701_003E","K201701_003M","K201701_004E","K201701_004M","K201701_005E","K201701_005M","K201701_006E","K201701_006M","K201701_007E","K201701_007M","K201701_008E","K201701_008M","K201701_009E","K201701_009M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Under 18 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Under 18 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 to 64 years","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 to 64 years","Estimate!!Total:!!Income in the past 12 months below poverty level:!!65 years and over","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!65 years and over","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Under 18 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Under 18 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 to 64 years","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 to 64 years","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!65 years and over","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!65 years and over",
"0400000US06","California","38703144","8951","4567967","68831","1207791","36931","2601042","39251","759134","16738","34135177","68935","7072666","37480","21401697","39006","5660814","16553",
"0500000US06073","San Diego County, California","3203045","2555","320137","19219","72717","9724","197106","12296","50314","3904","2882908","18948","589047","9647","1816816","12376","477045","3976",
