"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K202701_001E","Estimate!!Total:"
"K202701_001M","Margin of Error!!Total:"
"K202701_002E","Estimate!!Total:!!Under 19 years:"
"K202701_002M","Margin of Error!!Total:!!Under 19 years:"
"K202701_003E","Estimate!!Total:!!Under 19 years:!!With health insurance coverage"
"K202701_003M","Margin of Error!!Total:!!Under 19 years:!!With health insurance coverage"
"K202701_004E","Estimate!!Total:!!Under 19 years:!!No health insurance coverage"
"K202701_004M","Margin of Error!!Total:!!Under 19 years:!!No health insurance coverage"
"K202701_005E","Estimate!!Total:!!19 to 64 years:"
"K202701_005M","Margin of Error!!Total:!!19 to 64 years:"
"K202701_006E","Estimate!!Total:!!19 to 64 years:!!With health insurance coverage"
"K202701_006M","Margin of Error!!Total:!!19 to 64 years:!!With health insurance coverage"
"K202701_007E","Estimate!!Total:!!19 to 64 years:!!No health insurance coverage"
"K202701_007M","Margin of Error!!Total:!!19 to 64 years:!!No health insurance coverage"
"K202701_008E","Estimate!!Total:!!65 years and over:"
"K202701_008M","Margin of Error!!Total:!!65 years and over:"
"K202701_009E","Estimate!!Total:!!65 years and over:!!With health insurance coverage"
"K202701_009M","Margin of Error!!Total:!!65 years and over:!!With health insurance coverage"
"K202701_010E","Estimate!!Total:!!65 years and over:!!No health insurance coverage"
"K202701_010M","Margin of Error!!Total:!!65 years and over:!!No health insurance coverage"
