"GEO_ID","NAME","K201001_001E","K201001_001M","K201001_002E","K201001_002M","K201001_003E","K201001_003M","K201001_004E","K201001_004M","K201001_005E","K201001_005M","K201001_006E","K201001_006M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Never married","Margin of Error!!Total:!!Never married","Estimate!!Total:!!Now married (except separated)","Margin of Error!!Total:!!Now married (except separated)","Estimate!!Total:!!Separated","Margin of Error!!Total:!!Separated","Estimate!!Total:!!Widowed","Margin of Error!!Total:!!Widowed","Estimate!!Total:!!Divorced","Margin of Error!!Total:!!Divorced",
"0400000US06","California","32589900","3623","12600821","51280","15023977","70296","585141","14464","1561780","19507","2818181","37760",
"0500000US06073","San Diego County, California","2744251","*****","1011695","12173","1308573","18342","44035","4503","116285","5470","263663","10754",
