OID_,shape_id,route_id,route_short,route_long,route_type,agency_id,route_desc,route_url,route_color,route_text_color,route_type_text,RouteShapeName,route_color_RGB,route_text_color_RGB,Shape_Length
413,923_2_78,923,923,Downtown to Point Loma,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=923,000099,FFFFFF,Bus,923_2_78_923,"(0, 0, 153)","(255, 255, 255)",46890.949431491055
414,923_3_77,923,923,Downtown to Point Loma,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=923,000099,FFFFFF,Bus,923_3_77_923,"(0, 0, 153)","(255, 255, 255)",48151.19332409736
415,928_0_58,928,928,Fashion Valley - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,Bus,928_0_58_928,"(0, 0, 153)","(255, 255, 255)",55244.70997157482
416,928_0_59,928,928,Fashion Valley - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,Bus,928_0_59_928,"(0, 0, 153)","(255, 255, 255)",51032.873806289106
417,928_0_60,928,928,Fashion Valley - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,Bus,928_0_60_928,"(0, 0, 153)","(255, 255, 255)",35759.0348399757
418,928_1_57,928,928,Fashion Valley - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,Bus,928_1_57_928,"(0, 0, 153)","(255, 255, 255)",49652.67631674481
419,928_1_61,928,928,Fashion Valley - Kearny Mesa,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=928,000099,FFFFFF,Bus,928_1_61_928,"(0, 0, 153)","(255, 255, 255)",35527.5619502303
420,929_0_158,929,929,Downtown - Iris Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=929,000099,FFFFFF,Bus,929_0_158_929,"(0, 0, 153)","(255, 255, 255)",81837.3241755057
421,929_1_159,929,929,Downtown - Iris Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=929,000099,FFFFFF,Bus,929_1_159_929,"(0, 0, 153)","(255, 255, 255)",79326.91206040129
422,932_0_79,932,932,Iris Transit Center - 8th St. Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=932,000099,FFFFFF,Bus,932_0_79_932,"(0, 0, 153)","(255, 255, 255)",55182.39030051688
423,932_0_80,932,932,Iris Transit Center - 8th St. Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=932,000099,FFFFFF,Bus,932_0_80_932,"(0, 0, 153)","(255, 255, 255)",37010.39036131801
424,932_1_77,932,932,Iris Transit Center - 8th St. Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=932,000099,FFFFFF,Bus,932_1_77_932,"(0, 0, 153)","(255, 255, 255)",56365.24185044233
425,932_1_78,932,932,Iris Transit Center - 8th St. Transit Center,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=932,000099,FFFFFF,Bus,932_1_78_932,"(0, 0, 153)","(255, 255, 255)",37108.93956548997
426,933_9_67,933,933,Iris TC Loop - Imperial Beach Counterclock,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=933,000099,FFFFFF,Bus,933_9_67_933,"(0, 0, 153)","(255, 255, 255)",80842.24807855935
427,934_8_65,934,934,Iris TC Loop - Imperial Beach Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=934,000099,FFFFFF,Bus,934_8_65_934,"(0, 0, 153)","(255, 255, 255)",48433.61576702656
428,934_8_68,934,934,Iris TC Loop - Imperial Beach Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=934,000099,FFFFFF,Bus,934_8_68_934,"(0, 0, 153)","(255, 255, 255)",80819.89194192199
429,934_8_69,934,934,Iris TC Loop - Imperial Beach Clockwise,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=934,000099,FFFFFF,Bus,934_8_69_934,"(0, 0, 153)","(255, 255, 255)",41522.49141057807
430,936_0_61,936,936,Spring Valley - SDSU,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=936,000099,FFFFFF,Bus,936_0_61_936,"(0, 0, 153)","(255, 255, 255)",42407.435963484226
431,936_1_62,936,936,Spring Valley - SDSU,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=936,000099,FFFFFF,Bus,936_1_62_936,"(0, 0, 153)","(255, 255, 255)",39877.755186064125
432,944_2_10,944,944,Sabre Springs Station - Poway,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=944,000099,FFFFFF,Bus,944_2_10_944,"(0, 0, 153)","(255, 255, 255)",27427.707276628684
433,944_3_8,944,944,Sabre Springs Station - Poway,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=944,000099,FFFFFF,Bus,944_3_8_944,"(0, 0, 153)","(255, 255, 255)",29154.648796679972
434,945_0_13,945,945,Rancho Bernardo Station - Poway,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=945,000099,FFFFFF,Bus,945_0_13_945,"(0, 0, 153)","(255, 255, 255)",56149.63902943372
435,945_1_14,945,945,Rancho Bernardo Station - Poway,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=945,000099,FFFFFF,Bus,945_1_14_945,"(0, 0, 153)","(255, 255, 255)",55114.67943919174
436,946_10_18,946,945A,Poway HS CC Loop,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=945A,000099,FFFFFF,Bus,946_10_18_946,"(0, 0, 153)","(255, 255, 255)",73371.15898172685
437,946_11_17,946,945A,Poway HS CC Loop,3,MTS,,https://www.sdmts.com/schedules-real-time?fragment=945A,000099,FFFFFF,Bus,946_11_17_946,"(0, 0, 153)","(255, 255, 255)",73371.15898172685
