service_type,org,name,rec_bldg,park_name,address,city,zip,lat,lon,sq_ft,service_district,community,neighborhood,teen_ctr,multi_purp,multi_purpose,adult_ctr,comfort_st,comfort_station,dance_rm,dance_room,tinytot_rm,tiny_tot_room,weight_rm,weight_room,source
rec_center,City of San Diego Parks & Recreation,Golden Hills Rec Center,Golden Hills Rec Center,Balboa Park,2600 Golf Course Dr,San Diego,92102,32.720992448307676,-117.1373364153029,10040.0,41.0,BALBOA PARK,BALBOA PARK,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,North Clairemont Rec Center,North Clairemont Rec Center,North Clairemont Community Park,4421 Bannock Av,San Diego,92117,,,9810.0,44.0,CLAIREMONT MESA,NORTH CLAIREMONT,,,3.0,,,0.0,,0.0,,0.0,,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,North Clairemont Rec Center,North Clairemont Rec Center,Officer Austin Machitar Memorial Park,4421 Bannock Av,San Diego,92117,32.83239485849539,-117.19740810520952,9810.0,,,,0.0,3.0,,0.0,1.0,,0.0,,0.0,,0.0,,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Allied Gardens Rec Center,Allied Gardens Rec Center,Allied Gardens Community Park,5155 Greenbrier Av,San Diego,92120,32.795926252579456,-117.08062862005995,9190.0,45.0,NAVAJO,ALLIED GARDENS,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Municipal Gymnasium,Municipal Gymnasium,Balboa Park,2111 Pan American Rd,San Diego,92101,32.72695610889106,-117.15297513085976,24100.0,0.0,BALBOA PARK,BALBOA PARK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,San Carlos Rec Center,San Carlos Rec Center,San Carlos Community Park,6445 Lake Badin Av,San Diego,92119,32.798250243125274,-117.02170289120664,11880.0,45.0,NAVAJO,LAKE MURRAY,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Skyline Rec Center,Skyline Rec Center,Skyline Community Park,8285 Skyline Dr,San Diego,92114,32.70567512429343,-117.02617170452372,10810.0,43.0,SKYLINE-PARADISE HILLS,JAMACHA LOMITA,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,So. Clairemont Rec Center,So. Clairemont Rec Center,South Clairmont Community Park,3605 Clairemont Dr,San Diego,92117,32.806370621494,-117.20051723383516,6560.0,44.0,CLAIREMONT MESA,BAY PARK,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Linda Vista Rec Center,Linda Vista Rec Center,Linda Vista Community Park,7064 Levant St,San Diego,92111,32.79248976843051,-117.1697005771412,13710.0,45.0,LINDA VISTA,LINDA VISTA,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Robb Field Rec Center,Robb Field Rec Center,Mission Bay,2525 Bacon St,San Diego,92107,32.75430992570211,-117.24140963621412,3210.0,45.0,MISSION BAY PARK,OCEAN BEACH,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,"Robert Egger, Sr. - South Bay Rec Center","Robert Egger, Sr. - South Bay Rec Center","Robert Egger, Sr. - South Bay Community Park",1885 Coronado Av,San Diego,92154,32.575069513335066,-117.0939657038762,14750.0,42.0,OTAY MESA-NESTOR,EGGER HIGHLANDS,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Azalea Rec Center,Azalea Rec Center,Azalea Neighborhood Park,2596 Violet St,San Diego,92105,32.7323646442225,-117.10817166761672,1790.0,41.0,MID-CITY: CITY HEIGHTS,AZALEA/HOLLYWOOD PARK,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Kearny Mesa Rec Center,Kearny Mesa Rec Center,Kearny Mesa Community Park,3170 Armstrong St,San Diego,92111,32.8025548257626,-117.16430848266305,11140.0,45.0,LINDA VISTA,LINDA VISTA,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Paradise Hills Rec Center,Paradise Hills Rec Center,Paradise Hills Community Park,6610 Potomac St,San Diego,92139,32.685278531341524,-117.05076749802406,10808.0,43.0,SKYLINE-PARADISE HILLS,PARADISE HILLS,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Mountain View Rec Center,Mountain View Rec Center,Mountain View Park,551 S 40th St,San Diego,92113,32.7000091504887,-117.10787086895358,18100.0,43.0,SOUTHEASTERN SAN DIEGO,MOUNTAIN VIEW,1.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Standley Rec Center,Standley Rec Center,Standley Community Park,3585 Governor Dr,San Diego,92122,32.851097644358326,-117.21012066526704,18870.0,44.0,UNIVERSITY,UNIVERSITY CITY,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Silver Wing Rec Center,Silver Wing Rec Center,Silver Wing Park,3737 Arey Dr,San Diego,92123,32.57776281765363,-117.05345486514904,2030.0,42.0,OTAY MESA-NESTOR,OTAY MESA WEST,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Gil Johnson Mira Mesa Rec Center,Gil Johnson Mira Mesa Rec Center,Mira Mesa Community Park,8575 New Salem St,San Diego,92126,32.91517114591862,-117.14005692398656,10810.0,44.0,MIRA MESA,MIRA MESA,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,City Heights Rec Center,City Heights Rec Center,City Heights Community Park,4380 Landis St,San Diego,92105,32.74600511701164,-117.1000103339776,27360.0,41.0,MID-CITY: CITY HEIGHTS,FAIRMONT VILLAGE,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Stockton Rec Center,Stockton Rec Center,"Martin Luther King, Jr. Elementary School",330 32nd St,San Diego,92102,32.70919014648919,-117.12550340484816,17000.0,42.0,SOUTHEASTERN SAN DIEGO,STOCKTON,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Willie Henderson Rec Center,Willie Henderson Rec Center,Willie Henderson Sports Complex,1035 S 45th St,San Diego,92113,32.694617707156276,-117.09759656080568,2390.0,43.0,SOUTHEASTERN SAN DIEGO,MOUNTAIN VIEW,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Cabrillo Rec Center,Cabrillo Rec Center,Cabrillo Elementary School,3051 Canon St,San Diego,92106,32.72177354305867,-117.23262033707502,1980.0,45.0,PENINSULA,ROSEVILLE / FLEET RIDGE,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Adams Rec Center,Adams Rec Center,Adams Avenue Community Park,3491 Adams Av,San Diego,92116,32.76316050602282,-117.11754612346704,2360.0,41.0,MID-CITY: NORMAL HEIGHTS,NORMAL HEIGHTS,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,"Martin L. King, Jr. Memorial Rec Center","Martin L. King, Jr. Memorial Rec Center","Martin Luther King, Jr. Memorial Community",6401 Skyline Dr,San Diego,92114,32.70097820500591,-117.06070428325056,17000.0,43.0,ENCANTO,ENCANTO,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Colonel Salomon Rec Center,Colonel Salomon Rec Center,San Ysidro Comm Activity Center,179 Diza Rd,San Diego,92173,32.56508558576903,-117.04556314681577,13980.0,42.0,SAN YSIDRO,SAN YSIDRO,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Cathy Hopper Friendship Senior Center,Cathy Hopper Friendship Senior Center,North Clairemont CP,4425 Bannock Avenue,San Diego,92117,32.83260794553196,-117.19668021733744,6300.0,,,,0.0,3.0,,1.0,1.0,,0.0,,0.0,,0.0,,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Montgomery-Waller Rec Center,Montgomery-Waller Rec Center,Montgomery-Waller Community Park,3020 Coronado Av,San Diego,92154,32.57889961936472,-117.06861095796673,10850.0,42.0,OTAY MESA-NESTOR,OTAY MESA WEST,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Penn Rec Center,Penn Rec Center,Penn Athletic Field,2555 Dusk Dr,San Diego,92139,32.67826794571245,-117.0477122514651,2880.0,43.0,SKYLINE-PARADISE HILLS,BAY TERRACES,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Tierrasanta Rec Center,Tierrasanta Rec Center,Tierrasanta Community Park,11220 Clairemont Mesa Bl,San Diego,92124,32.82971644888273,-117.0891643243352,17640.0,45.0,TIERRASANTA,TIERRASANTA,0.0,5.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Doyle Rec Center,Doyle Rec Center,Doyle Community Park,8175 Regents Rd,San Diego,92122,32.86462307509567,-117.22108436342086,17590.0,44.0,UNIVERSITY,UNIVERSITY CITY,0.0,5.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Canyonside Rec Center,Canyonside Rec Center,Canyonside Community Park,12350 Black Mountain Rd,San Diego,92126,,,15560.0,40.0,RANCHO PEÑASQUITOS,RANCHO PENASQUITOS,,,2.0,,,0.0,,0.0,,0.0,,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Lois J. Mangarelli (Canyonside) Rec Center,Lois J. Mangarelli (Canyonside) Rec Center,Canyonside Community Park,12350 Black Mountain Rd,San Diego,92126,32.942273271634356,-117.13029468518592,15560.0,,,,0.0,2.0,,0.0,1.0,,0.0,,0.0,,0.0,,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Cesar Chavez Comm Center,Cesar Chavez Comm Center,San Ysidro Athletic Area,455 Sycamore Rd,San Diego,92173,32.54676994955479,-117.04543623518198,13000.0,42.0,SAN YSIDRO,SAN YSIDRO,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Rancho Bernardo Rec Center,Rancho Bernardo Rec Center,Rancho Bernardo Community Park,18448 W Bernardo Dr,San Diego,92127,33.04839443897128,-117.07692414167867,14750.0,40.0,RANCHO BERNARDO,RANCHO BERNARDO,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Mid-City Gymnasium,Mid-City Gymnasium,Mid-City Police Sub Station,4302 Landis St,San Diego,92105,32.74672118871274,-117.10165085437518,8600.0,41.0,MID-CITY: CITY HEIGHTS,CASTLE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Black Mtn Multi-Purpose Gym,Black Mtn Multi-Purpose Gym,Black Mountain Middle School,9353 Oviedo St,San Diego,92126,32.96953891811702,-117.12500805826036,13680.0,40.0,RANCHO PEÑASQUITOS,RANCHO PENASQUITOS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Hilltop Rec Center,Hilltop Rec Center,Hilltop Community Park,9711 Oviedo Wy,San Diego,92129,32.97148877293932,-117.11873726474366,5330.0,40.0,RANCHO PEÑASQUITOS,RANCHO PENASQUITOS,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Balboa Park Activity Center,Balboa Park Activity Center,Balboa Park,2145 Park Bl,San Diego,92101,32.726735591887454,-117.1477334792267,37970.0,0.0,BALBOA PARK,BALBOA PARK,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Scripps Ranch Rec Center,Scripps Ranch Rec Center,Scripps Ranch Community Park,11454 Blue Cypress Dr,San Diego,92131,32.92867422067815,-117.0798588377493,12080.0,40.0,MIRAMAR RANCH NORTH,MIRAMAR RANCH NORTH,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
rec_center,City of San Diego Parks & Recreation,Carmel Valley Rec Center,Carmel Valley Rec Center,Carmel Valley TownCenter Community Park,3770 Townsgate Dr,San Diego,92130,32.948589985317334,-117.234039357498,17250.0,40.0,CARMEL VALLEY,CARMEL VALLEY,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rec_centers_datasd + Recreation_Centers_SD
