tract_geoid,economic_score,economic_coverage,education_score,education_coverage,health_score,health_coverage,housing_score,housing_coverage,safety_env_score,safety_env_coverage,mobility_connectivity_score,mobility_connectivity_coverage,youth_supports_score,youth_supports_coverage,yoi_raw_0_1,yoi_0_100
06073008331,0.8954918032786885,1.0,,0.0,0.964625850340136,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.9629943972161457,1.0,0.8306079446815318,83.06079446815318
06073008336,0.9897540983606558,1.0,,0.0,0.9437641723356011,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.1569877883310719,1.0,0.6474564467296213,64.74564467296213
06073008337,0.9480874316939891,1.0,,0.0,0.9079365079365079,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.5373143558644625,1.0,0.723164505846529,72.3164505846529
06073011601,0.11612021857923494,1.0,,0.0,0.11111111111111112,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.17081614192488392,1.0,0.22434179987659658,22.434179987659657
06073011602,0.2752732240437158,1.0,,0.0,0.16235827664399094,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.6654579606605193,1.0,0.40060229730984565,40.06022973098457
06073011700,0.2390710382513661,1.0,,0.0,0.21337868480725627,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.7811240642797146,1.0,0.4332233788073734,43.32233788073734
06073011801,0.08333333333333337,1.0,,0.0,0.109750566893424,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.33837491577363643,1.0,0.25769463597288755,25.769463597288755
06073013307,0.10314207650273222,1.0,,0.0,0.12176870748299318,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.8943404498841598,1.0,0.4046427404402604,40.46427404402604
06073013308,0.3920765027322405,1.0,,0.0,0.2315192743764172,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.841721817628001,1.0,0.4911593306569538,49.11593306569538
06073013309,0.7862021857923498,1.0,,0.0,0.4961451247165532,1.0,,0.0,0.4993197278911564,1.0,,0.0,0.4590830633474557,1.0,0.5601875254368788,56.018752543687874
