tract_geoid,poverty_rate,uninsured_rate,mental_distress,poor_physical_health,crime_rate,services_per_10k,service_count
06073008331,0.8954918032786885,0.9952380952380953,0.9714285714285714,0.9272108843537414,0.4993197278911564,0.9768707482993197,0.9491180461329715
06073008336,0.9897540983606558,0.9639455782312926,0.9653061224489796,0.9020408163265307,0.4993197278911564,0.2,0.11397557666214382
06073008337,0.9480874316939891,0.8904761904761904,0.9421768707482994,0.891156462585034,0.4993197278911564,0.5006802721088436,0.5739484396200815
06073011601,0.11612021857923494,0.051700680272108834,0.189795918367347,0.09183673469387754,0.4993197278911564,0.1414965986394558,0.20013568521031208
06073011602,0.2752732240437158,0.05714285714285716,0.29047619047619044,0.1394557823129252,0.4993197278911564,0.6925170068027211,0.6383989145183175
06073011700,0.2390710382513661,0.1210884353741497,0.3795918367346939,0.1394557823129252,0.4993197278911564,0.6884353741496598,0.8738127544097694
06073011801,0.08333333333333337,0.0496598639455782,0.22857142857142854,0.05102040816326525,0.4993197278911564,0.38231292517006804,0.2944369063772049
06073013307,0.10314207650273222,0.0680272108843537,0.2578231292517007,0.039455782312925125,0.4993197278911564,0.8789115646258503,0.9097693351424695
06073013308,0.3920765027322405,0.09659863945578229,0.31564625850340133,0.282312925170068,0.4993197278911564,0.8489795918367347,0.8344640434192673
06073013309,0.7862021857923498,0.2857142857142857,0.7292517006802721,0.47346938775510206,0.4993197278911564,0.3442176870748299,0.5739484396200815
06073013312,0.8381147540983607,0.14353741496598638,0.4102040816326531,0.20952380952380956,0.4993197278911564,0.4557823129251701,0.2944369063772049
06073008343,0.050546448087431695,0.6979591836734693,0.3952380952380953,0.9272108843537414,0.4993197278911564,0.4993197278911565,0.48575305291723203
06073008344,0.8381147540983607,0.8904761904761904,0.8877551020408163,0.9020408163265307,0.4993197278911564,0.7673469387755102,0.6913161465400272
06073008345,0.5341530054644809,0.9074829931972789,0.9421768707482994,0.638095238095238,0.4993197278911564,0.689795918367347,0.6913161465400272
06073013401,0.6489071038251366,0.32448979591836735,0.7292517006802721,0.4442176870748299,0.4993197278911564,0.2748299319727891,0.2944369063772049
06073013409,0.7254098360655737,0.2857142857142857,0.6020408163265306,0.4591836734693877,0.4993197278911564,0.5346938775510204,0.6913161465400272
06073015601,0.17349726775956287,0.3734693877551021,0.10476190476190472,0.1986394557823129,0.4993197278911564,0.4312925170068027,0.5739484396200815
06073015701,0.015710382513661192,0.1585034013605442,0.02517006802721089,0.01632653061224487,0.4993197278911564,0.26258503401360545,0.39009497964721845
06073008348,0.7158469945355191,0.7673469387755102,0.8768707482993198,0.891156462585034,0.4993197278911564,0.8925170068027211,0.9355495251017639
06073008349,0.5997267759562841,0.6408163265306123,0.780952380952381,0.6829931972789116,0.4993197278911564,0.4489795918367347,0.39009497964721845
06073008351,0.7349726775956285,0.6673469387755102,0.8523809523809524,0.8503401360544218,0.4993197278911564,0.2585034013605442,0.2944369063772049
06073008352,0.7616120218579235,0.5904761904761905,0.7442176870748299,0.6965986394557824,0.4993197278911564,0.40680272108843535,0.39009497964721845
06073008353,0.6434426229508197,0.7870748299319728,0.8768707482993198,0.8068027210884354,0.4993197278911564,0.7292517006802721,0.7734056987788331
06073015801,0.180327868852459,0.22176870748299315,0.03129251700680269,0.11292517006802716,0.4993197278911564,0.46258503401360546,0.39009497964721845
06073015901,0.06284153005464477,0.0680272108843537,0.010884353741496544,0.010884353741496544,0.4993197278911564,0.11156462585034013,0.11397557666214382
06073015902,0.0949453551912568,0.17210884353741496,0.01904761904761909,0.026530612244897944,0.4993197278911564,0.527891156462585,0.6383989145183175
06073016000,0.12636612021857918,0.3795918367346939,0.29047619047619044,0.22585034013605443,0.4993197278911564,0.34829931972789113,0.20013568521031208
06073008355,0.7704918032786885,0.6979591836734693,0.8523809523809524,0.8503401360544218,0.4993197278911564,0.5319727891156463,0.39009497964721845
06073008356,0.5102459016393442,0.6517006802721088,0.7938775510204081,0.8360544217687075,0.4993197278911564,0.03605442176870748,0.03595658073270014
06073008357,0.18715846994535523,0.5768707482993197,0.780952380952381,0.6537414965986394,0.4993197278911564,0.6571428571428571,0.6913161465400272
06073008358,0.3879781420765027,0.5027210884353741,0.680952380952381,0.4850340136054422,0.4993197278911564,0.6829931972789116,0.8344640434192673
06073008359,0.5191256830601093,0.3734693877551021,0.4387755102040817,0.7850340136054421,0.4993197278911564,0.17687074829931973,0.20013568521031208
06073016401,0.4972677595628415,0.4931972789115646,0.4102040816326531,0.3204081632653061,0.4993197278911564,0.746938775510204,0.8344640434192673
06073016100,0.549863387978142,0.4571428571428572,0.3285714285714286,0.35306122448979593,0.4993197278911564,0.601360544217687,0.7734056987788331
