the_geom,objectid,stop_uid,stop_agency,stop_id,stop_name,lat,lon,stop_code,location_type,parent_station,wheelchair_boarding,intersection_code,stop_place
POINT (-117.097810299999 32.696915540266),"2,516",MTS_13440,MTS,13440,Logan Av & 45th St,32.69691554,-117.0978103,13440.0,0,,1.0,N-W/B,
POINT (-117.365123000085 33.178544999642),"5,442",NCTD_22081,NCTD,22081,Coast Hwy & Morse St,33.178545,-117.365123,22081.0,0,,,N-S/B,
POINT (-117.106174999689 32.696024949735),"3,033",MTS_10220,MTS,10220,National Av & 41st St,32.69602495,-117.106175,10220.0,0,,1.0,N-E/B,
POINT (-117.1618840303 32.717588920111),245,MTS_99019,MTS,99019,3rd Av & B St,32.71758892,-117.16188403,99019.0,0,,1.0,N-N/B,3rdbst
POINT (-117.19986899993 33.156550999924),"4,589",NCTD_20312,NCTD,20312,S Santa Fe Av & Las Flores Dr,33.156551,-117.199869,20312.0,0,,,F-E/B,
POINT (-117.069504000248 33.14810400025),"6,166",NCTD_93235,NCTD,93235,El Norte Pkwy & Rose St,33.148104,-117.069504,93235.0,0,,,N-W/B,
POINT (-117.11385942031 32.755099919692),"1,447",MTS_10204,MTS,10204,El Cajon Bl & 37th St,32.75509992,-117.11385942,10204.0,0,,1.0,N-E/B,
POINT (-117.236381999713 33.081351999777),"4,667",NCTD_20482,NCTD,20482,La Costa Av & Rancho Santa Fe Rd,33.081352,-117.236382,20482.0,0,,,N-E/B,rsflaN
POINT (-117.005991769533 32.641031449608),"1,394",MTS_30063,MTS,30063,East H St & Buena Vista Wy,32.64103145,-117.00599177,30063.0,0,,1.0,N-E/B,
POINT (-116.953878649901 32.825240390014),"3,457",MTS_41085,MTS,41085,Pepper Dr & Marlinda Wy,32.82524039,-116.95387865,41085.0,0,,1.0,N-W/B,
POINT (-117.194201090016 32.834353180396),"1,089",MTS_10428,MTS,10428,Clairemont Mesa Bl & Genesee Av,32.83435318,-117.19420109,10428.0,0,,1.0,F-E/B,clagnE
POINT (-117.146849250263 32.711440799897),"2,644",MTS_10118,MTS,10118,Market St & 19th St,32.7114408,-117.14684925,10118.0,0,,1.0,N-E/B,
POINT (-117.021377920371 32.7901787698),"2,439",MTS_40262,MTS,40262,Lake Murray Bl & El Paso St,32.79017877,-117.02137792,40262.0,0,,1.0,N-S/B,
POINT (-117.231658050382 32.868011010024),"3,078",MTS_13058,MTS,13058,Nobel Dr & La Jolla Village Square Drwy,32.86801101,-117.23165805,13058.0,0,,1.0,F-W/B,noblaj
POINT (-117.346001999681 33.215141999782),"4,712",NCTD_20567,NCTD,20567,Mission Av & Roymar Rd,33.215142,-117.346002,20567.0,0,,,F-W/B,
