objectid,rec_bldg,name,fac_nm_id,address,zip,sq_ft,year_built,serv_dist,adult_ctr,comfort_st,comp_room,dance_rm,game_room,gymnasium,kiln,kiln_room,kitchen,multi_purp,racquetbll,stage,teen_ctr,tinytot_rm,weight_rm,cd,neighborhd,lat,lon
21,"Martin L. King, Jr. Memorial Rec Center","Martin Luther King, Jr. Memorial Community",1490.0,6401 Skyline Dr,92114,17000.0,1987.0,43,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,4,ENCANTO,32.70097820500591,-117.06070428325056
22,Encanto Teen Center,Encanto Community Park,294.0,6508 Wunderlin Av,92114,1220.0,2005.0,43,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,ENCANTO,32.715606430412365,-117.05682267803742
24,Adams Rec Center,Adams Avenue Community Park,1459.0,3491 Adams Av,92116,2360.0,1987.0,41,0.0,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,9,NORMAL HEIGHTS,32.76316050602282,-117.11754612346704
25,Mountain View Rec Center,Mountain View Park,1099.0,551 S 40th St,92113,18100.0,2004.0,43,0.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,4,MOUNTAIN VIEW,32.7000091504887,-117.10787086895358
26,Cabrillo Rec Center,Cabrillo Elementary School,1268.0,3051 Canon St,92106,1980.0,1980.0,45,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2,ROSEVILLE / FLEET RIDGE,32.72177354305867,-117.23262033707502
27,North Park Rec Center,North Park Community Park,488.0,4044 Idaho St,92104,11230.0,1947.0,41,1.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,3,NORTH PARK,32.75090087324055,-117.13418236426403
28,Scripps Ranch Rec Center,Scripps Ranch Community Park,10279.0,11454 Blue Cypress Dr,92131,12080.0,2000.0,40,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5,MIRAMAR RANCH NORTH,32.92867422067815,-117.0798588377493
29,Azalea Rec Center,Azalea Neighborhood Park,1072.0,2596 Violet St,92105,1790.0,1973.0,41,0.0,1,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9,AZALEA/HOLLYWOOD PARK,32.7323646442225,-117.10817166761672
30,Southcrest Rec Center,Southcrest Community Park,299.0,4149 Newton Av,92113,10620.0,1964.0,43,0.0,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,8,SOUTHCREST,32.69427131368468,-117.10459424081246
31,Colina Del Sol Rec Center,Colina Del Sol Community Park,491.0,5319 Orange Av,92115,6560.0,1962.0,41,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9,COLINA DEL SOL,32.752817855330406,-117.08011697726168
