NAME,youth_10_19,services_per_1k_youth_10_19,median_hh_income_2023usd,zero_veh_share,severity_score
83.05,4220.0,0.0,41776.0,0.2559139784946236,0.777773657385466
28.01,2630.0,0.0,73795.0,0.0931458699472759,0.7408922578444863
91.09,2327.0,0.8594757198109153,177500.0,0.0,0.6952934407839136
91.09,2327.0,0.8594757198109153,177500.0,0.0,0.6952934407839136
51.03,383.0,0.0,24125.0,0.4066073697585768,0.6360981902040624
120.02,543.0,0.0,38973.0,0.2537788385043755,0.6119699353139632
29.04,2370.0,0.4219409282700422,45746.0,0.0964630225080385,0.6093540598208412
22.02,870.0,2.2988505747126435,53537.0,0.2640931372549019,0.6086500842584613
22.02,870.0,2.2988505747126435,53537.0,0.2640931372549019,0.6086500842584613
202.14,817.0,0.0,32194.0,0.1654676258992805,0.600925722782345
