GEOID,NAME,youth_10_19,services_per_1k_youth_10_19,median_hh_income_2023usd,zero_veh_share,severity_score,priority_tier,suitability_score
06073008331,83.31,556.0,5.39568345323741,217083.0,0.0148462354188759,0.45349501860360447,Medium,0.13876841713610077
06073008331,83.31,556.0,5.39568345323741,217083.0,0.0148462354188759,0.45349501860360447,Medium,0.13876841713610077
06073008331,83.31,556.0,5.39568345323741,217083.0,0.0148462354188759,0.45349501860360447,Medium,0.13876841713610077
06073008336,83.36,294.0,0.0,197841.0,0.0107816711590296,0.44613448329949534,Medium,0.39375070440205306
06073008337,83.37,677.0,1.4771048744460855,180496.0,0.0,0.4515255082288554,Medium,0.1616750902096515
06073011601,116.01,843.0,0.0,69542.0,0.0326555760936537,0.5391782796789661,Medium,0.4721624107677744
06073011602,116.02,603.0,0.0,57303.0,0.0946969696969697,0.5680518919934736,Medium,0.44854079314121886
06073011700,117,1071.0,0.0,56045.0,0.1561181434599156,0.5728858470716616,Medium,0.5538477398464118
06073011801,118.01,436.0,0.0,61146.0,0.0576241134751773,0.5444298049803835,Medium,0.4768934203677747
06073013307,133.07,826.0,0.0,80156.0,0.0,0.5414015957594218,Medium,0.4486219422172585
06073013308,133.08,551.0,0.0,95725.0,0.0289855072463768,0.5191738550349809,Medium,0.4249140277122448
06073013309,133.09,653.0,0.0,140882.0,0.0047468354430379,0.4614796453073151,Medium,0.45645322920616377
06073013312,133.12,513.0,0.0,97188.0,0.1805714285714285,0.5666974361688523,Medium,0.41767442420342016
06073008343,83.43,320.0,6.25,82325.0,0.0849858356940509,0.5034677688999415,Medium,0.17410781769758726
06073008343,83.43,320.0,6.25,82325.0,0.0849858356940509,0.5034677688999415,Medium,0.17410781769758726
06073008344,83.44,393.0,5.089058524173028,176680.0,0.0050804403048264,0.4411477978374897,Medium,0.15461111903437036
06073008344,83.44,393.0,5.089058524173028,176680.0,0.0050804403048264,0.4411477978374897,Medium,0.15461111903437036
06073008345,83.45,371.0,0.0,88095.0,0.0476923076923076,0.5047385776881939,Medium,0.43206303967981946
06073013401,134.01,715.0,0.0,134358.0,0.0196936542669584,0.4961178377007633,Medium,0.42901397862546603
06073013409,134.09,780.0,0.0,108590.0,0.0147710487444608,0.5015119896047975,Medium,0.423271749150259
06073015601,156.01,936.0,0.0,63974.0,0.0514813016027197,0.5523142362122911,Medium,0.46298885634030235
06073015701,157.01,978.0,0.0,42750.0,0.0899958141481791,0.5723588206079494,Medium,0.4711478844756691
06073008348,83.48,243.0,8.23045267489712,150847.0,0.0524746571258199,0.43621541578607975,Medium,0.145079038217457
06073008348,83.48,243.0,8.23045267489712,150847.0,0.0524746571258199,0.43621541578607975,Medium,0.145079038217457
06073008349,83.49,268.0,0.0,129038.0,0.0812274368231047,0.4758804732143799,Medium,0.4516648801506334
06073008351,83.51,377.0,0.0,149196.0,0.0272011453113815,0.45499879677133825,Medium,0.43420723040502796
06073008352,83.52,456.0,2.1929824561403506,133869.0,0.0569430569430569,0.48274742308802454,Medium,0.15610364294218765
06073008353,83.53,497.0,0.0,151857.0,0.048780487804878,0.4685056535250672,Medium,0.4178256230567842
06073015801,158.01,500.0,0.0,52212.0,0.1809859154929577,0.5767583038580437,Medium,0.4384443113451873
06073015901,159.01,640.0,0.0,45690.0,0.1695568400770712,0.5936422318645268,Medium,0.4576189673428101
06073015902,159.02,717.0,0.0,45921.0,0.1585227272727272,0.5744262639057456,Medium,0.426477070237915
06073016000,160,195.0,0.0,100547.0,0.0515463917525773,0.4945695901468771,Medium,0.42254093997599085
06073008355,83.55,283.0,7.067137809187279,154000.0,0.0346320346320346,0.45034378054512625,Medium,0.1373865109149575
06073008355,83.55,283.0,7.067137809187279,154000.0,0.0346320346320346,0.45034378054512625,Medium,0.1373865109149575
06073008356,83.56,366.0,0.0,121548.0,0.0288732394366197,0.4802866771438542,Medium,0.44103725550830347
06073008357,83.57,386.0,5.181347150259067,114583.0,0.070855614973262,0.4831711396290056,Medium,0.17372664531194248
06073008357,83.57,386.0,5.181347150259067,114583.0,0.070855614973262,0.4831711396290056,Medium,0.17372664531194248
06073008358,83.58,549.0,1.8214936247723132,115942.0,0.0707707222491517,0.4865297803498355,Medium,0.251995214558949
06073008359,83.59,397.0,2.5188916876574305,86685.0,0.0720968629609246,0.5081173309253838,Medium,0.19003829218104654
06073016401,164.01,786.0,0.0,110076.0,0.0544611819235225,0.5160766814924793,Medium,0.45064214129643204
06073016100,161,758.0,0.0,108175.0,0.0,0.49468000249923977,Medium,0.5100757468269331
06073016202,162.02,663.0,0.0,68813.0,0.1270553064275037,0.5688103986131438,Medium,0.5203881136513637
06073016301,163.01,587.0,0.0,64446.0,0.1422044545973729,0.5535113739873347,Medium,0.4326122214053853
06073016302,163.02,1023.0,0.0,56154.0,0.0515695067264574,0.5656931306782058,Medium,0.4541374209538848
06073003209,32.09,652.0,3.067484662576687,80436.0,0.0373937677053824,0.5194728280007229,Medium,0.18656617142129156
06073003209,32.09,652.0,3.067484662576687,80436.0,0.0373937677053824,0.5194728280007229,Medium,0.18656617142129156
06073003211,32.11,355.0,0.0,96563.0,0.0121816168327796,0.5037254993918874,Medium,0.43079843281499947
06073003212,32.12,446.0,2.242152466367713,103281.0,0.0400763358778625,0.5011962617571297,Medium,0.1659124792285459
06073003213,32.13,348.0,0.0,125164.0,0.003006012024048,0.4719387797305702,Medium,0.4017214128263557
06073017107,171.07,491.0,0.0,199063.0,0.0,0.44974205691108005,Medium,0.4186772510561861
06073008360,83.60,791.0,0.0,99122.0,0.0681438127090301,0.5116613415069353,Medium,0.5144052090911755
06073008502,85.02,772.0,1.2953367875647668,100387.0,0.0530514559234144,0.5071009758806769,Medium,0.23440928678800285
06073008504,85.04,250.0,16.0,131429.0,0.062829525483304,0.43891360367970866,Medium,0.22560307154482348
06073008504,85.04,250.0,16.0,131429.0,0.062829525483304,0.43891360367970866,Medium,0.22560307154482348
06073008504,85.04,250.0,16.0,131429.0,0.062829525483304,0.43891360367970866,Medium,0.22560307154482348
06073008504,85.04,250.0,16.0,131429.0,0.062829525483304,0.43891360367970866,Medium,0.22560307154482348
06073008504,85.04,250.0,16.0,131429.0,0.062829525483304,0.43891360367970866,Medium,0.22560307154482348
06073008504,85.04,250.0,16.0,131429.0,0.062829525483304,0.43891360367970866,Medium,0.22560307154482348
06073008504,85.04,250.0,16.0,131429.0,0.062829525483304,0.43891360367970866,Medium,0.22560307154482348
06073008504,85.04,250.0,16.0,131429.0,0.062829525483304,0.43891360367970866,Medium,0.22560307154482348
06073008505,85.05,705.0,1.4184397163120568,87178.0,0.0442126179831097,0.5212858988388505,Medium,0.20524193260272985
06073016502,165.02,1051.0,0.0,66701.0,0.0527777777777777,0.538753101263199,Medium,0.4557602381248433
06073017104,171.04,587.0,0.0,136468.0,0.0464285714285714,0.5015682794153614,Medium,0.41193488674610385
06073003214,32.14,506.0,0.0,80762.0,0.011605415860735,0.5120851008204442,Medium,0.41188962544754965
06073003301,33.01,459.0,4.357298474945535,72773.0,0.0936883629191321,0.5404067605871079,Medium,0.2452934148706028
06073003301,33.01,459.0,4.357298474945535,72773.0,0.0936883629191321,0.5404067605871079,Medium,0.2452934148706028
06073003303,33.03,535.0,3.7383177570093458,57699.0,0.0571020699500356,0.542853617324733,Medium,0.20993390475753354
06073003303,33.03,535.0,3.7383177570093458,57699.0,0.0571020699500356,0.542853617324733,Medium,0.20993390475753354
06073003403,34.03,513.0,1.949317738791423,66711.0,0.0551330798479087,0.5405509292320223,Medium,0.18625306000512154
06073008506,85.06,445.0,0.0,118633.0,0.0305927342256214,0.4897007348281007,Medium,0.46547647927051533
