GEOID,NAME,pop_total,youth_5_17,youth_10_19,youth_5_17_per_1k,youth_10_19_per_1k,median_hh_income_2023usd,households_total,households_zero_veh,zero_veh_share,services_total,library_count,ymca_count,rec_center_count,youth_org_count,stops_in_tract,stops_within_500m_per_tract,stops_within_500m_of_services,services_within_0_6mi,avg_distance_to_nearest_service_km,distance_to_nearest_library_km,distance_to_nearest_rec_center_km,distance_to_nearest_ymca_km,services_per_1k_youth_10_19,services_per_1k_youth_5_17,stops_within_500m_per_1k_youth,desert_flag,income_quintile
06073015701,157.01,6362.0,1227.0,978.0,192.86387928324427,153.72524363407734,42750.0,2389.0,215.0,0.0899958141481791,0,0,0,0,0,13,35,0,0,6.1719656947959125,,7.873810041171347,,0.0,0.0,35.787321063394685,1,Lowest
06073008348,83.48,4935.0,477.0,243.0,96.65653495440728,49.24012158054711,150847.0,1677.0,88.0,0.0524746571258199,2,0,0,0,0,4,15,3,3,0.0,,0.3268956604754358,,8.23045267489712,4.1928721174004195,61.72839506172839,0,Highest
06073008348,83.48,4935.0,477.0,243.0,96.65653495440728,49.24012158054711,150847.0,1677.0,88.0,0.0524746571258199,2,0,0,0,0,4,15,3,3,0.0,,0.3268956604754358,,8.23045267489712,4.1928721174004195,61.72839506172839,0,Highest
06073008349,83.49,3822.0,463.0,268.0,121.14076399790686,70.12035583464154,129038.0,1108.0,90.0,0.0812274368231047,0,0,0,0,0,8,24,0,0,0.1313818120176807,,0.4290820066422634,,0.0,0.0,89.55223880597015,0,High
06073008351,83.51,4817.0,449.0,377.0,93.21154245380944,78.26447996678431,149196.0,1397.0,38.0,0.0272011453113815,0,0,0,0,0,4,18,0,2,0.2320080575489024,,0.5358835228323854,,0.0,0.0,47.745358090185675,0,Highest
06073008352,83.52,4119.0,704.0,456.0,170.91527069677107,110.70648215586309,133869.0,1001.0,57.0,0.0569430569430569,1,0,0,0,0,5,8,0,1,0.0,,1.1814093422236664,,2.1929824561403506,1.4204545454545454,17.543859649122805,0,High
06073008353,83.53,4802.0,555.0,497.0,115.5768429820908,103.49854227405248,151857.0,1558.0,76.0,0.048780487804878,0,0,0,0,0,0,2,0,0,0.183422331117172,,0.3142559996343823,,0.0,0.0,4.024144869215292,0,Highest
06073015801,158.01,3657.0,662.0,500.0,181.02269619907028,136.7240907847963,52212.0,1420.0,257.0,0.1809859154929577,0,0,0,0,0,3,32,0,0,4.435293124550792,,6.132793884284047,,0.0,0.0,64.0,0,Lowest
06073015901,159.01,3751.0,920.0,640.0,245.267928552386,170.62116768861637,45690.0,1038.0,176.0,0.1695568400770712,0,0,0,0,0,5,38,0,0,3.938143350303767,,5.397700528881039,,0.0,0.0,59.375,1,Lowest
06073015902,159.02,5435.0,1001.0,717.0,184.1766329346826,131.92272309107636,45921.0,1760.0,279.0,0.1585227272727272,0,0,0,0,0,5,18,0,0,3.8292826426383058,,5.108007725771525,,0.0,0.0,25.10460251046025,0,Lowest
06073016000,160.0,2365.0,291.0,195.0,123.04439746300211,82.45243128964059,100547.0,873.0,45.0,0.0515463917525773,0,0,0,0,0,17,32,0,0,2.3167034931796615,,3.800051066418957,,0.0,0.0,164.10256410256412,0,Middle
06073008355,83.55,3093.0,397.0,283.0,128.3543485289363,91.49692854833496,154000.0,924.0,32.0,0.0346320346320346,2,0,0,0,0,0,9,0,2,0.0,,0.8701206279126649,,7.067137809187279,5.037783375314861,31.802120141342755,0,Highest
06073008355,83.55,3093.0,397.0,283.0,128.3543485289363,91.49692854833496,154000.0,924.0,32.0,0.0346320346320346,2,0,0,0,0,0,9,0,2,0.0,,0.8701206279126649,,7.067137809187279,5.037783375314861,31.802120141342755,0,Highest
06073008356,83.56,3950.0,669.0,366.0,169.36708860759492,92.65822784810126,121548.0,1420.0,41.0,0.0288732394366197,0,0,0,0,0,3,18,0,3,0.1660858491351452,,0.3262847655973208,,0.0,0.0,49.18032786885246,0,High
06073008357,83.57,4608.0,423.0,386.0,91.796875,83.76736111111111,114583.0,1496.0,106.0,0.070855614973262,2,0,0,1,0,7,25,7,2,0.0,,0.0,,5.181347150259067,4.7281323877068555,64.76683937823833,0,Middle
06073008357,83.57,4608.0,423.0,386.0,91.796875,83.76736111111111,114583.0,1496.0,106.0,0.070855614973262,2,0,0,1,0,7,25,7,2,0.0,,0.0,,5.181347150259067,4.7281323877068555,64.76683937823833,0,Middle
06073008358,83.58,6522.0,821.0,549.0,125.88163140141062,84.17663293468262,115942.0,2063.0,146.0,0.0707707222491517,1,0,0,0,0,26,57,8,1,0.0,,0.3140126617207771,,1.8214936247723132,1.2180267965895248,103.82513661202186,0,Middle
06073008359,83.59,4426.0,545.0,397.0,123.13601446000904,89.69724356077722,86685.0,1817.0,131.0,0.0720968629609246,1,0,0,1,0,16,30,3,1,0.0,,0.0,,2.5188916876574305,1.834862385321101,75.56675062972293,0,Low
06073016401,164.01,5410.0,863.0,786.0,159.51940850277265,145.28650646950092,110076.0,1726.0,94.0,0.0544611819235225,0,0,0,0,0,11,30,0,0,7.914770351499441,,9.651915732073048,,0.0,0.0,38.16793893129771,0,Middle
06073016100,161.0,6412.0,944.0,758.0,147.2239550842171,118.21584529008108,108175.0,2172.0,0.0,0.0,0,0,0,0,0,5,34,0,0,0.0815060409582304,,1.779901670819933,,0.0,0.0,44.85488126649077,0,Middle
